Product,ProductID,Counts
"AXCELLE L3-NOTE Cortex-A5 1.0Ghz Processor Unlocked Phone, 5.0"" FWVGA Screen 854 x 480 Pixels, 512MB RAM, 4G ROM, Dual Cameras (0.3M Front / 2M Rear), (Silver, Pink, White, Black) (Black)",B00F2COK5C,50
"AXCELLE L3-NOTE Cortex-A5 1.0Ghz Processor Unlocked Phone, 5.0"" FWVGA Screen 854 x 480 Pixels, 512MB RAM, 4G ROM, Dual Cameras (0.3M Front / 2M Rear), (Silver, Pink, White, Black) (White)",B00F2COJSK,79
Ainol NOVO8 Discovery(Find) Quad-core ATM7029 Bluetooth Dual-camera HDMI 2GB/16GB Android 4.1 8-inch IPS Tablet PC,B00DVI3EYW,3
"Alcatel 382G ""The Big Easy"" Prepaid Phone With Double Minutes (Tracfone)",B009LRN2SK,212
Alcatel 382G Prepaid Phone With 800 Minutes and Double Minutes (Tracfone),B009LRN2SK,17
Alcatel 510A Prepaid GoPhone (AT&T),B009EAG8CQ,43
Alcatel 768 (Metro PCS),B00F9S966M,5
Alcatel 871A Prepaid GoPhone (AT&T),B00ACPF9IQ,93
Alcatel One Evolve Prepaid Phone (MetroPCS),B00H92FYLM,7
Alcatel One Evolve Prepaid Phone (T-Mobile),B00H92FYLM,39
Alcatel One Evolve Touchscreen GSM Unlocked AT&T T-mobile,B00H92FYLM,10
Alcatel One Fierce Prepaid Phone (MetroPCS),B00H92G0UG,21
Alcatel One Fierce Prepaid Phone - Silver (T-Mobile),B00H92G0UG,27
Alcatel One Touch 871a OT-871a Unlocked GSM QWERTY Cell Phone - White (with Blue Border),B00EHLVPQG,1
Alcatel One Touch Fire - brand new smartphone with Firefox OS (Orange),B00ES1H0LY,1
All NEW HTC One M7 Silver 32GB Factory Unlocked 3/4G LTE- International version,B00BR16MJE,33
Amzdeal® 30W 5V/6A 4-Port Family-Sized USB Wall Charger Travel Portable Power Adapter for Apple iPhone 5S 5C 5 4S 4; iPad 5 Air mini; Samsung Galaxy S5 S4 S3; Note 3 2; the new HTC One (M8); Nexus; External Batteries and More USB-Powered Devices,B00HJJPYXS,28
